"University-of-Colorado-Boulder","Data Mining","undergrad","CSCI 4502","2","2","","1","2","1","1","1","1"
"University-of-Colorado-Boulder","Machine Learning","undergrad","CSCI 4622","3","2","","2","2","1","1","2","2"
"University-of-Colorado-Boulder","Data Mining","grad","CSCI 5502","null","null","","null","null","null","null","null","null"
"University-of-Colorado-Boulder","Machine Learning","grad","CSCI 5622","null","null","","null","null","null","null","null","null"
"University-of-Colorado-Boulder","Neural Networks and Deep Learning","grad","CSCI 5922","2","1","","1","2","1","1","1","1"
"University-of-Colorado-Boulder","Advanced Machine Learning","grad","CSCI 6622","null","null","","null","null","null","null","null","null"
"University-of-Colorado-Boulder","Neural Networks and Deep Learning","grad","CSCI 7222","4","3","","3","2","2","2","3","3"
"University-of-Illinois-Chicago","Artificial Intelligence I","undergrad","CS 411","3","2","","1","2","3","1","1","1"
"University-of-Illinois-Chicago","Introduction to Machine Learning","undergrad","CS 412","null","2","","1","1","1","null","null","null"
"University-of-Illinois-Chicago","Introduction to Data Science","undergrad","CS 418","2","2","","1","2","1","1","1","2"
"University-of-Illinois-Chicago","Advanced Machine Learning","grad","CS 512","4","3","","3","3","3","2","3","3"
"University-of-Illinois-Chicago","Deep Learning for Computer Vision","grad","CS 518","null","null","","null","null","null","null","null","null"
"University-of-Illinois-Chicago","Data Mining and Text Mining","grad","CS 583","1","1","","1","1","1","1","1","1"
"University-of-Illinois-Urbana-Champaign","Modeling and Learning in Data Science","undergrad","CS 307","null","null","","null","null","null","null","null","null"
"University-of-Illinois-Urbana-Champaign","Artificial Intelligence","undergrad","CS 440","4","1","","1","1","1","1","1","1"
"University-of-Illinois-Urbana-Champaign","Applied Machine Learning","undergrad","CS 441","2","2","","1","1","1","1","1","1"
"University-of-Illinois-Urbana-Champaign","Trustworthy Machine Learning","undergrad","CS 442","null","null","","null","null","null","null","null","null"
"University-of-Illinois-Urbana-Champaign","Machine Learning","undergrad","CS 446","2","2","","1","2","1","1","2","0"
"University-of-Illinois-Urbana-Champaign","Machine Learning for Signal Processing","grad","CS 545","2","2","","1","2","1","1","2","2"
"University-of-Illinois-Urbana-Champaign","Deep Learning","grad","CS 547","null","null","","1","2","null","null","null","null"
"University-of-Illinois-Urbana-Champaign","Advanced Topics in Security, Privacy, and Machine Learning","grad","CS 562","3","2","","1","2","1","1","2","1"
"University-of-Illinois-Urbana-Champaign","User-Centered Machine Learning","grad","CS 568","1","1","","1","1","1","1","1","1"
"University-of-Maryland","Introduction to Machine Learning","undergrad","CMSC 422","2","2","","1","2","1","1","1","1"
"University-of-Maryland","Introduction to Deep Learning","undergrad","CMSC 472","null","2","","2","2","null","null","null","null"
"University-of-Maryland","Introduction to Aritifical Intelligence","undergrad","CMSC 421","4","2","","1","1","1","1","1","1"
"University-of-Maryland","AI Planning","grad","CMSC 722","2","1","","1","2","1","1","1","1"
"University-of-Maryland","Neural Computation","grad","CMSC 727","2","2","","1","2","1","1","1","1"
"University-of-Massachusshetts-Amherst","Artificial Intelligence","undergrad","COMPSCI 383","1","1","","1","1","1","1","1","1"
"University-of-Massachusshetts-Amherst","Algorithms for Data Science","undergrad","COMPSCI 514","null","null","","null","null","null","null","null","null"
"University-of-Massachusshetts-Amherst","Machine Learning","undergrad","COMPSCI 589","1","1","","1","1","1","1","1","1"
"University-of-Massachusshetts-Amherst","Machine Learning","undergrad","COMPSCI 689","null","null","","null","null","null","null","null","null"
"University-of-Minnesota-Twin-Cities","Introduction to Artificial Intelligence","undergrad","CS 4232","null","null","","null","null","null","null","null","null"
"University-of-Minnesota-Twin-Cities","Artificial Intelligence II","grad","CSCI 5512","null","null","","null","null","null","null","null","null"
"University-of-Minnesota-Twin-Cities","Machine Learning Fundamentals","grad","CSCI 5521","null","2","","1","2","null","null","null","null"
"University-of-Minnesota-Twin-Cities","Machine Learning: Analysis and Methods","grad","CSCI 5525","2","1","","1","2","1","1","1","0"
"University-of-North-Carolina-at-Chapel-Hill","Introduction to Machine Learning","undergrad","COMP 562","1","1","","1","1","1","1","1","1"
